
0,cm,cm,move yellow cylinder right of red box,0,5,
1,cm,cm,move blue sphere left of red box,0,5,
2,cm,cm,move green box in front of purple cylinder,0,5,
3,cm,cm,move red cone behind yellow cone,0,4,
4,cm,move green cylinder right of green box,2,5,
5,cm,move purple cone left of red sphere,2,5,
6,cm,cm,move yellow cylinder left of blue cylinder,3,5,
7,move red box left of yellow box,3,5,
8,move purple cone right of blue cone,3,5,
9,move yellow sphere right of red cylinder,2,5,
10,cm,move green box in front of blue sphere,3,4,
11,move blue sphere left of purple box,4,4,
12,move green box right of blue sphere,4,5,
13,move red sphere in front of blue sphere,4,5,
14,move green sphere left of purple cylinder,4,5,
15,move purple cylinder right of blue cone,3,5,
16,cm,move green cone behind green sphere,4,4,
17,move yellow sphere left of purple box,3,5,
18,move purple box in front of green cylinder,4,5,
19,cm,cm,move blue box behind red cylinder,5,5,
20,move blue sphere behind yellow sphere,5,4,
21,move blue sphere in front of yellow cone,5,5,
22,move green cone behind yellow cone,5,5,
23,move green box right of purple box,4,5,
24,move yellow box behind purple sphere,5,5,
25,move red cylinder in front of yellow cylinder,4,5,
26,move green box left of purple sphere,3,5,
27,move red cylinder in front of blue box,4,5,
28,move yellow cylinder in front of green sphere,4,5,
29,move purple sphere right of blue box,4,5,
30,move yellow cylinder behind red box,3,3,
31,move yellow cylinder behind purple cylinder,3,5,
