
0,cm,cm,move yellow sphere left of red sphere,0,5,
1,cm,cm,move red cylinder behind green cylinder,1,5,
2,cm,move purple sphere behind yellow cylinder,1,5,
3,cm,cm,move blue sphere in front of yellow cylinder,1,3,
4,cm,move purple box in front of blue sphere,2,5,
5,cm,move green cone left of blue cylinder,3,5,
6,move green cone behind purple cylinder,4,3,
7,cm,cm,move red cone right of green cone,3,5,
8,move yellow cone left of green cone,2,4,
9,cm,move yellow box behind blue box,3,4,
10,move green cylinder behind yellow cylinder,4,5,
11,cm,move yellow cone right of purple sphere,5,3,
12,move green sphere left of blue cone,3,5,
13,move blue box left of red box,3,5,
14,move green sphere right of green cone,5,5,
15,move red cylinder in front of blue box,3,4,
16,move red sphere behind blue box,3,3,
17,move red cone in front of blue sphere,4,5,
18,move purple sphere right of yellow cone,4,5,
19,move blue sphere in front of green cylinder,4,5,
20,move blue sphere left of yellow cylinder,5,4,
21,move blue sphere in front of green sphere,5,5,
22,move blue cone in front of red cone,3,4,
23,move purple cone right of purple sphere,5,4,
24,move blue cylinder right of yellow cylinder,5,4,
25,move green cylinder behind green cone,2,5,
26,move green box right of red sphere,4,5,
27,move yellow box left of red sphere,3,5,
28,move green box left of yellow box,3,5,
29,move yellow cone in front of red box,4,5,
30,move blue sphere right of green cylinder,4,4,
31,move purple cylinder behind red box,5,5,
