
0,cm,cm,purple box behind yellow cylinder,0,5,
1,cm,purple sphere behind green sphere,2,5,
2,cm,green cylinder behind yellow box,0,5,
3,cm,purple cone behind yellow box,0,5,
4,cm,blue box behind yellow cone,0,5,
5,purple box behind purple cylinder,0,5,
6,cm,cm,yellow cone behind red cone,1,5,
7,cm,blue cone behind green cylinder,1,5,
8,cm,green sphere behind purple sphere,1,5,
9,cm,blue cylinder behind green cylinder,3,5,
10,cm,blue cone behind green box,5,4,
11,purple cylinder behind red box,5,4,
12,red box behind purple cone,5,5,
13,red cone behind red sphere,5,5,
14,blue sphere behind green cylinder,5,5,
15,blue cylinder behind red cone,5,5,
16,red cone behind blue sphere,5,5,
17,purple box behind blue sphere,5,5,
18,green cone behind blue box,5,5,
19,yellow box behind purple sphere,5,4,
20,blue cone behind red cone,5,5,
21,green cone behind blue box,5,4,
22,yellow box behind red cone,5,3,
23,red sphere behind green cylinder,5,4,
24,green box behind yellow sphere,5,5,
25,yellow box behind green box,5,4,
26,blue cylinder behind yellow cylinder,5,5,
27,yellow box behind blue cone,5,3,
28,green cone behind red cylinder,5,4,
29,blue cone behind yellow box,5,5,
