
0,cm,cm,purple sphere behind yellow cylinder,0,5,
1,cm,yellow sphere behind yellow cone,0,5,
2,cm,cm,yellow cylinder behind blue sphere,1,4,
3,cm,purple cylinder behind yellow cone,3,4,
4,cm,purple cylinder behind purple sphere,1,4,
5,cm,green box behind purple box,2,5,
6,cm,green sphere behind purple sphere,1,4,
7,cm,purple cylinder behind green sphere,2,4,
8,cm,green cone behind green cylinder,1,5,
9,cm,red cone behind red cylinder,0,2,
10,cm,green box behind green cone,5,4,
11,cm,blue cylinder behind yellow cylinder,4,3,
12,cm,cm,cm,cm,cm,cm,cm,cm,green sphere behind yellow cylinder,2,3,
13,cm,blue cylinder behind yellow cylinder,1,5,
14,cm,cm,red box behind green box,5,0,
15,cm,blue cylinder behind purple cylinder,4,2,
16,cm,purple cone behind red box,3,4,
17,cm,blue box behind red cone,3,0,
18,cm,purple sphere behind purple cylinder,3,1,
19,cm,red box behind green sphere,3,0,
20,cm,green sphere behind yellow cylinder,5,0,
21,cm,blue cylinder behind green sphere,5,0,
22,cm,red sphere behind purple box,5,0,
23,cm,yellow box behind green cylinder,5,0,
24,cm,red sphere behind yellow cone,5,1,
25,cm,yellow cylinder behind purple sphere,5,1,
26,cm,yellow box behind blue cone,5,2,
27,cm,blue cone behind green cone,5,0,
28,cm,purple cylinder behind purple sphere,5,1,
29,cm,yellow sphere behind red box,5,1,
