
0,cm,cm,yellow cylinder behind red cylinder,0,5,
1,cm,blue sphere behind green box,0,5,
2,cm,blue cylinder behind green cylinder,0,5,
3,cm,cm,red cylinder behind purple cylinder,0,5,
4,cm,green cone behind red cone,4,5,
5,blue cone behind purple box,3,5,
6,green sphere behind blue sphere,1,5,
7,cm,purple box behind green sphere,3,5,
8,yellow box behind yellow cone,3,5,
9,yellow sphere behind yellow cone,3,5,
10,purple box behind purple cylinder,4,5,
11,yellow sphere behind red cylinder,4,5,
12,cm,cm,cm,cm,green cylinder behind purple box,1,4,
13,green cone behind red sphere,0,4,
14,cm,cm,cm,green sphere behind green cone,3,5,
15,cm,cm,yellow sphere behind yellow cylinder,5,2,
16,green cone behind yellow cylinder,5,4,
17,purple cylinder behind blue cone,5,1,
18,blue sphere behind yellow box,5,2,
19,green sphere behind red cone,5,2,
20,red box behind yellow cylinder,5,1,
21,red sphere behind red box,5,2,
22,blue cone behind purple cylinder,5,4,
23,yellow box behind blue sphere,5,3,
24,purple sphere behind blue box,5,1,
25,green box behind yellow box,5,3,
26,purple cone behind yellow box,5,3,
27,red box behind green cone,5,3,
28,blue cylinder behind red box,5,3,
29,purple cone behind green box,5,4,
