
0,cm,cm,purple sphere behind blue cylinder,0,5,
1,cm,yellow cylinder behind green cylinder,0,5,
2,cm,purple cylinder behind blue cone,2,4,
3,cm,cm,blue box behind green box,0,5,
4,cm,blue sphere behind red sphere,0,4,
5,cm,purple cone behind blue sphere,1,5,
6,cm,red box behind green cone,1,4,
7,cm,green sphere behind red sphere,0,5,
8,cm,purple cone behind yellow cylinder,0,5,
9,cm,red box behind blue sphere,3,4,
10,cm,cm,blue box behind yellow cone,2,3,
11,cm,blue cone behind red sphere,5,3,
12,cm,red box behind red cylinder,5,2,
13,cm,blue cone behind yellow cylinder,5,1,
14,cm,green cylinder behind purple box,5,1,
15,cm,blue cone behind purple cylinder,5,1,
16,cm,red cone behind purple cylinder,5,1,
17,cm,yellow sphere behind purple box,5,3,
18,cm,green cylinder behind blue sphere,5,2,
19,cm,purple cylinder behind blue cone,5,5,
20,cm,red box behind green cylinder,5,2,
21,cm,green box behind blue box,5,2,
22,cm,red box behind red cone,5,3,
23,cm,yellow cone behind purple box,5,1,
24,cm,green sphere behind purple cone,5,3,
25,cm,red box behind purple sphere,5,1,
26,cm,purple cylinder behind red sphere,5,3,
27,cm,purple box behind yellow cylinder,5,2,
28,cm,yellow box behind yellow cone,5,0,
29,cm,purple sphere behind red box,5,2,
