
0,cm,cm,green cone behind blue cone,0,5,
1,cm,green sphere behind purple box,0,5,
2,cm,red cylinder behind yellow sphere,3,5,
3,yellow box behind purple sphere,2,5,
4,yellow sphere behind red cone,1,5,
5,cm,red sphere behind purple cone,2,5,
6,cm,blue box behind green sphere,4,4,
7,cm,red cone behind red cylinder,5,4,
8,green cylinder behind green sphere,5,5,
9,green sphere behind red sphere,5,5,
10,blue sphere behind blue box,5,5,
11,green cone behind purple cylinder,5,4,
12,green sphere behind yellow cone,5,5,
13,green sphere behind green cylinder,5,4,
14,red cone behind blue cylinder,5,3,
15,yellow cone behind blue box,5,5,
16,yellow box behind green box,5,5,
17,green box behind red cylinder,5,5,
18,yellow cone behind blue sphere,5,4,
19,green box behind purple sphere,5,4,
20,blue cone behind red cone,5,5,
21,red cylinder behind purple cone,5,3,
22,green box behind blue cone,5,5,
23,yellow box behind green box,5,4,
24,red sphere behind green cylinder,5,5,
25,yellow cone behind blue cylinder,5,4,
26,green box behind yellow cylinder,5,5,
27,green box behind blue box,5,4,
28,green cylinder behind purple cone,5,5,
29,red sphere behind red cone,5,4,
