
0,cm,cm,blue sphere behind red sphere,0,5,
1,cm,red cone behind purple cone,0,4,
2,cm,purple sphere behind purple cone,1,5,
3,cm,cm,blue cone behind purple sphere,2,4,
4,cm,green cone behind purple cone,0,5,
5,cm,purple sphere behind green sphere,2,4,
6,cm,cm,yellow box behind red box,5,0,
7,cm,red cylinder behind purple box,5,0,
8,cm,yellow sphere behind blue cone,5,1,
9,cm,green cylinder behind yellow cylinder,5,0,
10,cm,blue box behind green cone,5,0,
11,cm,blue cone behind red box,5,1,
12,cm,blue cone behind purple cylinder,5,0,
13,cm,green cone behind yellow cone,5,1,
14,cm,purple cone behind purple box,5,0,
15,cm,blue sphere behind yellow box,5,0,
16,cm,purple sphere behind purple cone,5,0,
17,cm,green box behind red sphere,5,0,
18,cm,purple sphere behind purple cone,5,1,
19,cm,purple sphere behind purple cone,5,0,
20,cm,red sphere behind purple cone,5,0,
21,cm,purple box behind yellow box,5,1,
22,cm,yellow box behind red cone,5,0,
23,cm,blue cone behind blue cylinder,5,1,
24,cm,blue sphere behind yellow cylinder,5,0,
25,cm,green cylinder behind blue cylinder,5,0,
26,cm,red cylinder behind purple sphere,5,1,
27,cm,purple cone behind red sphere,5,0,
28,cm,green cone behind green box,5,1,
29,cm,blue cone behind purple box,5,1,
