
0,cm,cm,yellow cylinder behind yellow cone,0,5,
1,cm,purple box behind green cylinder,1,5,
2,cm,yellow cylinder behind red box,5,5,
3,cm,blue cylinder behind yellow box,0,5,
4,cm,yellow cone behind blue sphere,0,4,
5,cm,blue sphere behind red box,2,2,
6,cm,cm,yellow cone behind green sphere,1,4,
7,cm,purple box behind red box,4,3,
8,cm,cm,cm,red box behind red cylinder,4,4,
9,cm,green sphere behind red cone,2,3,
10,cm,red box behind yellow box,3,5,
11,cm,cm,cm,red sphere behind yellow sphere,5,0,
12,cm,blue sphere behind red cone,5,0,
13,cm,red cone behind green sphere,5,0,
14,cm,yellow box behind red cylinder,5,1,
15,cm,purple box behind purple sphere,5,0,
16,cm,yellow cone behind blue box,5,2,
17,cm,red sphere behind green cylinder,5,0,
18,cm,red cylinder behind yellow cylinder,5,0,
19,cm,blue cylinder behind green cylinder,5,1,
20,cm,yellow box behind green sphere,4,4,
21,cm,green sphere behind blue box,5,1,
22,cm,blue sphere behind purple cylinder,5,2,
23,cm,blue sphere behind green cone,4,3,
24,cm,blue cone behind purple sphere,5,0,
25,cm,blue sphere behind purple sphere,5,0,
26,cm,red cylinder behind yellow box,5,1,
27,cm,green box behind yellow sphere,5,0,
28,cm,green box behind yellow cylinder,5,0,
29,cm,red cone behind blue cylinder,5,1,
