
0,cm,cm,red cylinder behind purple box,0,5,
1,cm,green box behind purple cone,0,5,
2,cm,blue box behind red box,0,5,
3,purple box behind yellow box,0,5,
4,cm,red cylinder behind blue box,2,5,
5,red cone behind yellow box,2,4,
6,cm,cm,yellow box behind blue cone,2,5,
7,yellow cylinder behind green cylinder,3,5,
8,cm,red cone behind blue sphere,3,5,
9,purple cylinder behind red box,3,5,
10,green cone behind purple box,3,5,
11,blue cylinder behind yellow box,5,5,
12,cm,red cone behind red sphere,2,5,
13,cm,red sphere behind yellow box,4,5,
14,green cylinder behind blue cone,4,5,
15,blue box behind blue cylinder,5,5,
16,yellow box behind green sphere,4,5,
17,yellow sphere behind green cylinder,5,5,
18,cm,cm,blue cylinder behind blue box,4,5,
19,red cylinder behind green sphere,5,4,
20,cm,purple cone behind purple cylinder,5,5,
21,red box behind purple box,5,5,
22,purple cone behind green box,5,5,
23,red cylinder behind purple cylinder,5,5,
24,yellow box behind red cylinder,5,5,
25,yellow cone behind blue box,5,5,
26,green box behind purple cone,5,5,
27,blue cone behind yellow cylinder,5,4,
28,yellow sphere behind yellow cylinder,5,4,
29,purple cylinder behind green sphere,5,4,
