
0,cm,cm,green sphere behind purple cylinder,0,5,
1,cm,yellow sphere behind yellow box,0,5,
2,cm,blue box behind yellow box,0,5,
3,cm,blue box behind yellow sphere,1,4,
4,cm,cm,red box behind blue box,0,5,
5,purple cone behind red box,1,5,
6,cm,cm,yellow box behind purple cone,2,5,
7,cm,red sphere behind yellow box,2,2,
8,cm,yellow box behind red cylinder,4,2,
9,cm,cm,purple cylinder behind purple cone,2,4,
10,purple sphere behind red box,3,5,
11,blue cylinder behind purple cylinder,4,4,
12,cm,cm,red cone behind blue cylinder,5,0,
13,red cone behind green cylinder,5,1,
14,blue cylinder behind purple cylinder,5,0,
15,purple cylinder behind blue cylinder,5,0,
16,red sphere behind blue sphere,5,0,
17,yellow sphere behind green cone,5,0,
18,blue cylinder behind green box,5,2,
19,purple cone behind red sphere,5,0,
20,red sphere behind green cone,5,1,
21,purple sphere behind yellow cylinder,5,2,
22,purple box behind purple sphere,5,3,
23,green box behind red sphere,5,0,
24,purple cylinder behind yellow sphere,5,1,
25,red cylinder behind red cone,5,2,
26,green box behind red cone,5,0,
27,purple box behind purple sphere,5,1,
28,purple sphere behind purple cylinder,5,2,
29,purple box behind yellow box,5,1,
