
0,cm,cm,yellow cylinder behind blue cylinder,0,1,
1,purple cylinder behind purple sphere,0,1,
2,red cone behind blue box,0,1,
3,cm,purple sphere behind blue sphere,0,1,
4,green box behind blue box,0,0,
